Date,Zip code,# in Group,# New,# Returns,Temperature,Weather,Date/Time,11201
2/1/2020,11201,2,,2,41,Cloudy,,502
2/1/2020,11201,5,2,3,41,Cloudy,,
2/1/2020,11206,2,2,,41,Cloudy,,
2/1/2020,10011,4,,4,41,Cloudy,,
2/1/2020,11209,5,,5,41,Cloudy,,
2/1/2020,11379,2,,2,41,Cloudy,,
2/1/2020,11201,2,,2,41,Cloudy,,
2/1/2020,11225,2,,2,41,Cloudy,,
2/1/2020,12572,4,4,,41,Cloudy,,
2/1/2020,11235,2,1,1,41,Cloudy,,
2/1/2020,11201,5,3,2,41,Cloudy,,
2/1/2020,11218,2,2,,41,Cloudy,2/1/2020 14:30:09,
2/1/2020,?,1,1,,41,Cloudy,2/1/2020 14:37:49,
2/1/2020,11201,2,,2,41,Cloudy,2/1/2020 14:39:37,
2/1/2020,11213,2,2,,41,Cloudy,2/1/2020 14:48:54,
2/1/2020,11218,3,3,,41,Cloudy,2/1/2020 14:56:45,
2/1/2020,11375,3,3,,41,Cloudy,2/1/2020 15:02:27,
2/1/2020,11201,4,2,2,41,Cloudy,2/1/2020 15:08:25,
2/1/2020,11223,2,,2,41,Cloudy,2/1/2020 15:15:22,
2/1/2020,11201,2,,2,41,Cloudy,2/1/2020 15:45:52,
2/1/2020,11201,4,,4,41,Cloudy,2/1/2020 15:49:38,
2/1/2020,11201,2,,2,41,Cloudy,2/1/2020 15:51:01,
2/1/2020,10023,2,2,,41,Cloudy,2/1/2020 16:15:36,
2/1/2020,11217,4,1,3,41,Cloudy,2/1/2020 16:18:09,
2/1/2020,11201,2,2,,41,Cloudy,2/1/2020 16:18:16,
2/1/2020,10452,3,,,41,Cloudy,2/1/2020 16:20:49,
2/1/2020,singapore,2,2,,41,Cloudy,2/1/2020 16:22:21,
2/1/2020,11231,2,2,,41,Cloudy,2/1/2020 16:38:40,
2/1/2020,11201,3,3,,41,Cloudy,2/1/2020 16:51:59,
2/2/2020,11201,4,,4,43,Cloudy,2/2/2020 13:06:03,
2/2/2020,11238,5,,5,43,Cloudy,2/2/2020 13:20:22,
2/2/2020,11201,4,,4,43,Cloudy,2/2/2020 13:39:24,
2/2/2020,11374,3,3,,43,Cloudy,2/2/2020 13:53:49,
2/2/2020,11209,3,3,,43,Cloudy,2/2/2020 13:54:20,
2/2/2020,10027,2,2,,43,Cloudy,2/2/2020 13:55:15,
2/2/2020,11201,5,,5,43,Cloudy,2/2/2020 14:09:04,
2/2/2020,11215,3,3,,43,Cloudy,2/2/2020 14:12:44,
2/2/2020,11201,2,,2,43,Cloudy,2/2/2020 14:31:21,
2/2/2020,11201,2,,2,43,Cloudy,2/2/2020 14:32:22,
2/2/2020,11201,5,,5,43,Cloudy,2/2/2020 14:35:08,
2/2/2020,11205,2,2,,43,Cloudy,2/2/2020 14:35:45,
2/2/2020,11233,3,3,,43,Cloudy,2/2/2020 14:36:23,
2/2/2020,11201,2,2,,43,Cloudy,2/2/2020 14:45:59,
2/2/2020,11201,2,,2,43,Cloudy,2/2/2020 15:15:11,
2/2/2020,11201,4,4,,43,Cloudy,2/2/2020 15:33:25,
2/2/2020,11201,3,,3,43,Cloudy,2/2/2020 15:37:10,
2/2/2020,11201,2,,2,43,Cloudy,2/2/2020 15:52:15,
2/2/2020,7040,4,4,,43,Cloudy,2/2/2020 15:53:28,
2/2/2020,10463,3,3,,43,Cloudy,2/2/2020 15:53:46,
2/2/2020,11201,3,,3,43,Cloudy,2/2/2020 15:59:40,
2/2/2020,10463,3,3,,43,Cloudy,2/2/2020 16:03:59,
2/2/2020,11201,4,,4,43,Cloudy,2/2/2020 16:40:03,
2/4/2020,11201,3,,3,54,Cloudy,2/4/2020 15:02:31,
2/4/2020,11201,4,4,,54,Cloudy,2/4/2020 15:02:34,
2/4/2020,11201,2,,2,54,Cloudy,2/4/2020 15:03:20,
2/4/2020,11201,3,,3,54,Cloudy,2/4/2020 15:15:39,
2/4/2020,10011,2,,2,54,Cloudy,2/4/2020 15:23:08,
2/4/2020,11201,4,1,3,54,Cloudy,2/4/2020 15:24:35,
2/4/2020,11201,2,,2,54,Cloudy,2/4/2020 15:50:26,
2/4/2020,11233,2,2,,54,Cloudy,2/4/2020 15:51:10,
2/4/2020,11201,2,,2,54,Cloudy,2/4/2020 15:59:56,
2/4/2020,11201,2,,2,54,Cloudy,2/4/2020 16:01:32,
2/4/2020,11201,2,,2,54,Cloudy,2/4/2020 16:03:42,
2/4/2020,11201,2,,2,54,Cloudy,2/4/2020 16:23:35,
2/4/2020,11201,2,,2,54,Cloudy,2/4/2020 16:30:15,
2/4/2020,11201,2,,2,54,Cloudy,2/4/2020 16:30:25,
2/6/2020,11201,4,,4,44,Rainy,2/6/2020 15:07:40,
2/6/2020,11201,3,3,,44,Rainy,2/6/2020 15:10:17,
2/6/2020,11201,2,,2,44,Rainy,2/6/2020 15:42:23,
2/6/2020,11201,2,,2,44,Rainy,2/6/2020 15:51:52,
2/6/2020,11201,3,,3,44,Rainy,2/6/2020 16:09:41,
2/6/2020,11201,2,,2,44,Rainy,2/6/2020 16:10:07,
2/6/2020,11206,2,,2,44,Rainy,2/6/2020 16:12:12,
2/6/2020,11201,2,,2,44,Rainy,2/6/2020 16:36:40,
2/6/2020,6855,1,1,,44,Rainy,2/6/2020 16:51:08,
2/8/2019,,,,,39,cloudy,,
2/8/2020,11201,3,,3,39,cloudy,2/8/2020 13:17:10,
2/8/2020,10312,5,5,,39,cloudy,2/8/2020 13:20:13,
2/8/2020,,,1,,39,cloudy,,
