Date,Zip code,# in Group,# New,# Returns,Temperature,Weather,Date/Time,11201
1/4/2020,11201,2,,2,49,Foggy,,475
1/4/2020,11201,2,,2,49,Foggy,,
1/4/2020,11201,2,,2,49,Foggy,,
1/4/2020,11201,2,,2,49,Foggy,,
1/4/2020,11201,3,,3,49,Foggy,,
1/4/2020,11201,2,2,,49,Foggy,,
1/4/2020,7302,2,2,,49,Foggy,,
1/4/2020,2140,1,1,,49,Foggy,,
1/4/2020,30241,2,2,,49,Foggy,,
1/4/2020,11238,2,2,,49,Foggy,,
1/4/2020,11201,2,,2,49,Foggy,,
1/4/2020,Australia,2,2,,49,Foggy,,
1/4/2020,11201,2,,2,49,Foggy,,
1/4/2020,11201,2,,2,49,Foggy,,
1/4/2020,11217,3,,3,49,Foggy,,
1/4/2020,11201,1,1,,49,Foggy,,
1/4/2020,80221,1,1,,49,Foggy,,
1/4/2020,11217,4,,4,49,Foggy,,
1/4/2020,11201,5,,5,49,Foggy,,
1/4/2020,11201,2,,2,49,Foggy,,
1/4/2020,11201,3,,3,49,Foggy,,
1/4/2020,11201,4,,4,49,Foggy,,
1/4/2020,11501,5,,5,49,Foggy,,
1/5/2020,11231,2,2,,41,Sunny,,
1/5/2020,77004,1,1,,41,Sunny,,
1/5/2020,11201,3,,3,41,Sunny,,
1/5/2020,11201,2,,2,41,Sunny,,
1/5/2020,11201,2,,2,41,Sunny,,
1/5/2020,11201,6,,6,41,Sunny,,
1/5/2020,11201,3,,3,41,Sunny,,
1/5/2020,11201,2,,2,41,Sunny,,
1/5/2020,11201,4,4,,41,Sunny,,
1/5/2020,11201,2,2,,41,Sunny,,
1/5/2020,11215,3,3,,41,Sunny,,
1/5/2020,11201,2,,2,41,Sunny,,
1/5/2020,11231,2,2,,41,Sunny,,
1/5/2020,11201,5,,5,41,Sunny,,
1/5/2020,11201,3,,3,41,Sunny,,
1/5/2020,11201,3,,3,41,Sunny,,
1/5/2020,11201,3,,3,41,Sunny,,
1/5/2020,11201,4,,4,41,Sunny,,
1/5/2020,11207,5,5,,41,Sunny,,
1/5/2020,11218,2,2,,41,Sunny,,
1/5/2020,11201,2,,2,41,Sunny,,
1/9/2020,11201,2,2,,33,sunny,,
1/9/2020,11201,2,,2,33,sunny,,
1/9/2020,11201,6,3,3,33,sunny,,
1/9/2020,11201,3,,3,33,sunny,,
1/9/2020,11201,2,,2,33,sunny,,
1/9/2020,11201,2,,2,33,sunny,,
1/9/2020,11201,3,,3,33,sunny,,
