Date,Zip code,# in Group,# New,# Returns,Temperature,Weather
8/20/2015,"""Unknown""",37,37,0,82,Sunny
8/22/2015,"""Unknown""",35,35,0,86,Sunny
8/22/2015,"""Unknown""",45,45,0,86,Sunny
8/23/2015,"""Unknown""",50,50,0,75,Sunny
8/23/2015,"""Unknown""",45,42,3,83,Sunny
8/26/2015,"""Unknown""",42,42,0,82,Partly sunny
8/28/2015,"""Unknown""",16,16,0,82,Partly cloudy
8/29/2015,"""Unknown""",57,56,1,82,Partly cloudy
8/29/2015,"""Unknown""",47,44,3,84,Partly cloudy
8/30/2015,"""Unknown""",40,40,0,77,overcast
8/30/2015,"""Unknown""",30,25,5,90,overcast
9/10/2015,"""Unknown""",29,27,2,77,cloudy
9/12/2015,"""Unknown""",91,87,4,76,cloudy
9/13/2015,"""Unknown""",94,83,11,79,sunny (rained at 4pm)
9/17/2015,"""Unknown""",24,17,7,86,sunny
9/19/2015,"""Unknown""",94,90,4,77,sunny
9/20/2015,"""Unknown""",71,56,15,76,sunny
9/24/2015,"""Unknown""",33,31,2,82,sunny
9/26/2015,"""Unknown""",56,46,10,72,partly sunny
9/27/2015,"""Unknown""",74,70,4,70,partly sunny
10/1/2015,"""Unknown""",35,28,7,64,cloudy
10/3/2015,"""Unknown""",44,31,13,49,rainy and windy
10/4/2015,"""Unknown""",99,87,12,64,sunny
10/8/2015,"""Unknown""",29,25,4,70,sunny
10/10/2015,"""Unknown""",82,72,10,64,sunny
10/11/2015,"""Unknown""",80,65,15,66,sunny
10/15/2015,"""Unknown""",26,22,4,65,sunny
10/17/2015,"""Unknown""",,,,,
10/18/2015,"""Unknown""",77,61,16,50,partly sunny
10/22/2015,"""Unknown""",18,18,0,76,partly sunny
10/24/2015,"""Unknown""",82,70,12,42,cloudy
10/15/2015,"""Unknown""",51,40,11,60,cloudy
10/29/2015,"""Unknown""",8,2,6,68,cloudy and windy
10/31/2015,"""Unknown""",44,37,7,55,partly sunny
11/1/2015,"""Unknown""",66,53,13,64,cloudy
11/5/2015,"""Unknown""",49,29,20,66,cloudy
11/7/2015,"""Unknown""",121,108,13,64,cloudy
11/8/2015,"""Unknown""",94,72,22,60,sunny
11/12/2015,"""Unknown""",9,6,3,59,cloudy
11/14/2015,"""Unknown""",75,62,13,47,Clear
11/15/2015,"""Unknown""",110,102,8,61,sunny
11/19/2015,"""Unknown""",30,18,12,61,rainy
11/21/2015,"""Unknown""",83,62,21,52,Sunny
11/22/2015,"""Unknown""",56,43,13,53,cloudy
11/28/2015,"""Unknown""",67,53,14,63,overcast
11/29/2015,"""Unknown""",93,75,18,48,sunny
12/3/2015,"""Unknown""",11,4,7,50,cloudy
12/5/2015,"""Unknown""",46,37,9,42,sunny
12/6/2015,"""Unknown""",84,56,28,52,sunny
12/10/2015,"""Unknown""",43,17,26,59,sunny
12/12/2015,"""Unknown""",93,76,17,H 63 L 55,mostly cloudy
12/13/2015,"""Unknown""",115,81,34,H 70,partly cloudy 
12/17/2015,"""Unknown""",14,2,12,57,Rainy
12/19/2015,"""Unknown""",29,23,6,42,cloudy
12/20/2015,"""Unknown""",79,52,27,45,sunny
1/7/2016,"""Unknown""",20,17,3,46,partly cloudy 
1/9/2016,"""Unknown""",79,53,26,46,partly cloudy 
1/10/2016,"""Unknown""",91,58,33,59,rainy and sunny 
1/14/2016,"""Unknown""",35,13,22,39,cloudy 
1/16/2016,"""Unknown""",112,64,48,52,partly cloudy 
1/17/2016,"""Unknown""",52,38,14,37,snow
1/18/2016,"""Unknown""",11,9,2,27,sunny 
1/21/2016,"""Unknown""",34,14,20,33,sunny 
1/26/2016,"""Unknown""",2,1,1,46,fair
1/28/2016,"""Unknown""",21,10,11,40,partly cloudy 
1/30/2016,"""Unknown""",70,35,35,39,sunny 
1/31/2016,"""Unknown""",100,61,39,48,sunny 
2/2/2016,"""Unknown""",18,9,9,48,sunny 
2/4/2016,"""Unknown""",29,9,20,52,cloudy 
2/6/2016,"""Unknown""",102,65,37,40,partly cloudy 
2/7/2016,"""Unknown""",12,61,22,46,sunny 
2/7/2016,11201,31,,,,
2/7/2016,11203,5,,,,
2/7/2016,11204,3,,,,
2/7/2016,11205,1,,,,
2/7/2016,11215,6,,,,
2/7/2016,11223,2,,,,
2/7/2016,11231,4,,,,
2/7/2016,11238,5,,,,
2/7/2016,11375,3,,,,
2/7/2016,7042,1,,,,
2/7/2016,11354,4,,,,
2/7/2016,10314,4,,,,
2/7/2016,7081,2,,,,
2/8/2016,"""Unknown""",0,11,6,34,cloudy 
2/8/2016,11201,7,,,,
2/8/2016,11205,3,,,,
2/8/2016,11230,4,,,,
2/8/2016,11233,2,,,,
2/8/2016,Mexico,1,,,,
2/9/2016,"""Unknown""",3,8,3,36,sunny 
2/9/2016,11201,8,,,,
2/11/2016,"""Unknown""",0,3,13,29,windy/ sunny
2/11/2016,11201,14,,,,
2/11/2016,11218,2,,,,
2/13/2016,"""Unknown""",0,32,9,25,windy/ sunny
2/13/2016,11201,22,,,,
2/13/2016,11232,4,,,,
2/13/2016,6811,3,,,,
2/13/2016,11231,3,,,,
2/13/2016,11215,4,,,,
2/13/2016,7024,3,,,,
2/13/2016,11361,3,,,,
2/14/2016,"""Unknown""",0,11,3,15,windy
2/14/2016,11201,3,,,,
2/14/2016,11217,3,,,,
2/14/2016,11238,6,,,,
2/14/2016,11212,2,,,,
2/16/2016,"""Unknown""",0,6,3,55,"rainy, big storm right before"
2/16/2016,11201,9,,,,
2/18/2016,"""Unknown""",3,46,39,38,sunny 
2/18/2016,11201,74,,,,
2/18/2016,11205,3,,,,
2/18/2016,10473,3,,,,
2/18/2016,11233,2,,,,
2/20/2016,"""Unknown""",0,94,33,58,sunny 
2/20/2016,11201,69,,,,
2/20/2016,11373,1,,,,
2/20/2016,11220,6,,,,
2/20/2016,11238,2,,,,
2/20/2016,11232,3,,,,
2/20/2016,11233,3,,,,
2/20/2016,11209,4,,,,
2/20/2016,11231,4,,,,
2/20/2016,11214,8,,,,
2/20/2016,11218,3,,,,
2/20/2016,11205,3,,,,
2/20/2016,10026,1,,,,
2/20/2016,11103,2,,,,
2/20/2016,11215,7,,,,
2/20/2016,11228,4,,,,
2/20/2016,11222,2,,,,
2/20/2016,11226,2,,,,
2/20/2016,out of state,3,,,,
2/21/2016,"""Unknown""",2,114,21,54,Cloudy 
2/21/2016,11201,41,,,,
2/21/2016,11218,3,,,,
2/21/2016,11215,4,,,,
2/21/2016,11377,2,,,,
2/21/2016,11230,4,,,,
2/21/2016,11235,9,,,,
2/21/2016,10007,2,,,,
2/21/2016,10032,3,,,,
2/21/2016,11210,4,,,,
2/21/2016,11220,3,,,,
2/21/2016,7670,4,,,,
2/21/2016,11216,3,,,,
2/21/2016,8854,3,,,,
2/21/2016,7922,2,,,,
2/21/2016,10009,3,,,,
2/21/2016,10017,3,,,,
2/21/2016,11219,4,,,,
2/21/2016,10032,3,,,,
2/21/2016,10467,2,,,,
2/21/2016,11235,2,,,,
2/21/2016,11225,6,,,,
2/21/2016,11205,4,,,,
2/21/2016,11038,4,,,,
2/21/2016,11367,1,,,,
2/21/2016,10307,2,,,,
2/21/2016,32550,1,,,,
2/21/2016,11355,1,,,,
2/21/2016,11204,4,,,,
2/21/2016,11214,5,,,,
2/21/2016,Germany,1,,,,
2/23/2016,"""Unknown""",0,0,4,37,Rainy
2/23/2016,11201,4,,,,
2/25/2016,"""Unknown""",0,8,18,46,cloudy/ rainy
2/25/2016,11201,19,,,,
2/25/2016,11361,3,,,,
2/25/2016,Spain,4,,,,
2/27/2016,"""Unknown""",2,78,29,39,sunny 
2/27/2016,11201,37,,,,
2/27/2016,10025,6,,,,
2/27/2016,11232,3,,,,
2/27/2016,11236,3,,,,
2/27/2016,11206,3,,,,
2/27/2016,11214,7,,,,
2/27/2016,16801,1,,,,
2/27/2016,11205,2,,,,
2/27/2016,11373,2,,,,
2/27/2016,15228,2,,,,
2/27/2016,16802,2,,,,
2/27/2016,10792,1,,,,
2/27/2016,7470,1,,,,
2/27/2016,18635,1,,,,
2/27/2016,23464,1,,,,
2/27/2016,15701,1,,,,
2/27/2016,63040,1,,,,
2/27/2016,10038,1,,,,
2/27/2016,11216,2,,,,
2/27/2016,10038,12,,,,
2/27/2016,11949,2,,,,
2/27/2016,11233,4,,,,
2/27/2016,2115,2,,,,
2/27/2016,11209,4,,,,
2/27/2016,11231,4,,,,
2/28/2016,"""Unknown""",12,145,37,62,sunny 
2/28/2016,11201,59,,,,
2/28/2016,6107,4,,,,
2/28/2016,France,6,,,,
2/28/2016,11714,3,,,,
2/28/2016,10024,3,,,,
2/28/2016,11231,4,,,,
2/28/2016,11204,3,,,,
2/28/2016,10002,6,,,,
2/28/2016,10983,4,,,,
2/28/2016,11220,2,,,,
2/28/2016,10075,3,,,,
2/28/2016,11213,1,,,,
