,total_visitors,total_new,total_returns,from_11201,Temperature,avg_visits_per_hour,avg_returns_per_hour,avg_new_per_hour,avg_from_11201_per_hour,ratio_11201,day,week,month,year,given_temp,precipitation,cloud_cover,snow,rain
2015-08-20,37,37.0,0.0,,82.07,18.5,0.0,18.5,,,3,34,8,2015,82,0.0,0.38,0.0,0.0
2015-08-22,80,80.0,0.0,,82.16,20.0,0.0,20.0,,,5,34,8,2015,86,0.0,0.13,0.0,0.0
2015-08-23,95,92.0,3.0,,80.22,23.75,0.75,23.0,,,6,34,8,2015,83,0.0,0.28,0.0,0.0
2015-08-26,42,42.0,0.0,,79.68,21.0,0.0,21.0,,,2,35,8,2015,82,0.0,0.14,0.0,0.0
2015-08-28,16,16.0,0.0,,80.12,8.0,0.0,8.0,,,4,35,8,2015,82,0.0,0.16,0.0,0.0
2015-08-29,104,100.0,4.0,,84.15,26.0,1.0,25.0,,,5,35,8,2015,84,0.0,0.18,0.0,0.0
2015-08-30,70,65.0,5.0,,87.57,17.5,1.25,16.25,,,6,35,8,2015,90,0.0017,0.17,0.0,1.0
2015-09-10,29,27.0,2.0,,79,14.5,1.0,13.5,,,3,37,9,2015,77,0.0393,0.72,0.0,1.0
2015-09-12,91,87.0,4.0,,76.47,22.75,1.0,21.75,,,5,37,9,2015,76,0.0064,0.36,0.0,1.0
2015-09-13,94,83.0,11.0,,75.04,23.5,2.75,20.75,,,6,37,9,2015,79,0.0037,0.32,0.0,1.0
2015-09-17,24,17.0,7.0,,83.42,12.0,3.5,8.5,,,3,38,9,2015,86,0.0,0.14,0.0,0.0
2015-09-19,94,90.0,4.0,,77.92,23.5,1.0,22.5,,,5,38,9,2015,77,0.0,0.19,0.0,0.0
2015-09-20,71,56.0,15.0,,76.23,17.75,3.75,14.0,,,6,38,9,2015,76,0.0,0.21,0.0,0.0
2015-09-24,33,31.0,2.0,,79.11,16.5,1.0,15.5,,,3,39,9,2015,82,0.0,0.14,0.0,0.0
2015-09-26,56,46.0,10.0,,70.35,14.0,2.5,11.5,,,5,39,9,2015,72,0.0,0.16,0.0,0.0
2015-09-27,74,70.0,4.0,,68,18.5,1.0,17.5,,,6,39,9,2015,70,0.0,0.2,0.0,0.0
2015-10-01,35,28.0,7.0,,62.85,17.5,3.5,14.0,,,3,40,10,2015,64,0.0028,0.49,0.0,1.0
2015-10-03,44,31.0,13.0,,55.4,11.0,3.25,7.75,,,5,40,10,2015,49,0.0111,,0.0,1.0
2015-10-04,99,87.0,12.0,,63.18,24.75,3.0,21.75,,,6,40,10,2015,64,0.0,0.38,0.0,0.0
2015-10-08,29,25.0,4.0,,67.08,14.5,2.0,12.5,,,3,41,10,2015,70,0.0,0.21,0.0,0.0
2015-10-10,82,72.0,10.0,,63.62,20.5,2.5,18.0,,,5,41,10,2015,64,0.0,0.14,0.0,0.0
2015-10-11,80,65.0,15.0,,67.68,20.0,3.75,16.25,,,6,41,10,2015,66,0.0,0.09,0.0,0.0
2015-10-15,77,62.0,15.0,,63,38.5,7.5,31.0,,,3,42,10,2015,60,0.0,0.12,0.0,0.0
2015-10-18,77,61.0,16.0,,48.11,19.25,4.0,15.25,,,6,42,10,2015,50,0.0,0.18,0.0,0.0
2015-10-22,18,18.0,0.0,,71.65,9.0,0.0,9.0,,,3,43,10,2015,76,0.0,0.14,0.0,0.0
2015-10-24,82,70.0,12.0,,56.38,20.5,3.0,17.5,,,5,43,10,2015,42,0.0,0.27,0.0,0.0
2015-10-29,8,2.0,6.0,,70.15,4.0,3.0,1.0,,,3,44,10,2015,68,0.0081,0.29,0.0,1.0
2015-10-31,44,37.0,7.0,,53.19,11.0,1.75,9.25,,,5,44,10,2015,55,0.0,0.07,0.0,0.0
2015-11-01,66,53.0,13.0,,63.55,16.5,3.25,13.25,,,6,44,11,2015,64,0.0,0.3,0.0,0.0
2015-11-05,49,29.0,20.0,,67.31,24.5,10.0,14.5,,,3,45,11,2015,66,0.0004,0.57,0.0,1.0
2015-11-07,121,108.0,13.0,,69.88,30.25,3.25,27.0,,,5,45,11,2015,64,0.0,0.29,0.0,0.0
2015-11-08,94,72.0,22.0,,57.37,23.5,5.5,18.0,,,6,45,11,2015,60,0.0,0.1,0.0,0.0
2015-11-12,9,6.0,3.0,,59.21,4.5,1.5,3.0,,,3,46,11,2015,59,0.0019,0.67,0.0,1.0
2015-11-14,75,62.0,13.0,,48.83,18.75,3.25,15.5,,,5,46,11,2015,47,0.0,0.17,0.0,0.0
2015-11-15,110,102.0,8.0,,58.36,27.5,2.0,25.5,,,6,46,11,2015,61,0.0,0.09,0.0,0.0
