Entry Id,How did you hear about Open Hours in the Environmental Education Center? (Check all that apply.),How did you hear about Open Hours in the Environmental Education Center? (Check all that apply.),How did you hear about Open Hours in the Environmental Education Center? (Check all that apply.),How did you hear about Open Hours in the Environmental Education Center? (Check all that apply.),How did you hear about Open Hours in the Environmental Education Center? (Check all that apply.),How did you hear about Open Hours in the Environmental Education Center? (Check all that apply.),"Children's ages, if applicable.",Age appropriate?,How often do you visit and why?,Check All That Apply,Check All That Apply,Check All That Apply,Check All That Apply,Any additional comments,Surveyor,Date,Day,Time,Date Created,Created By,Last Updated,Updated By,IP Address,Last Page Accessed,Completion Status
2,,,Passerby,,,,10 months,Very,first time,,Special programs during Open Hours,,,,CT,,Sat,4pm,2018-12-08 12:22:14,public,2018-12-08 12:28:25,BBP Conservancy Education,98.116.200.159,1,1
3,Word of Mouth,,,,,,2,Very,Every few weeks - our daughter loves the animals and the puppets. So we always peep in if in the area,,Special programs during Open Hours,Self-guided outdoor activities,,We love it here - thanks!,CT,,Sat,4pm,2018-12-08 12:23:08,public,2018-12-08 12:28:42,BBP Conservancy Education,98.116.200.159,1,1
4,,,Passerby,,,,"2,4,6",Extremely,1st time,,Special programs during Open Hours,,,Very nice addition to the park - thanks!,CT,,Sat,4pm,2018-12-08 12:23:45,public,2018-12-08 12:29:16,BBP Conservancy Education,98.116.200.159,1,1
5,,,Passerby,,,,4,Very,1-2 times a month. its a great educational and entertainment program for kids,,Special programs during Open Hours,,,You guys do a great job! Keep it going! :),ct,,Sat,4pm,2018-12-08 12:24:41,public,2018-12-08 12:29:27,BBP Conservancy Education,98.116.200.159,1,1
6,Word of Mouth,,,,,,4,Extremely,first time. do not live locally,,Special programs during Open Hours,Self-guided outdoor activities,Weekend morning classes,,ct,,Sat,4pm,2018-12-08 12:25:06,public,2018-12-08 12:29:40,BBP Conservancy Education,98.116.200.159,1,1
7,,,Passerby,,,,15,Moderately,once,Adult Programs,Special programs during Open Hours,Self-guided outdoor activities,,"Everyone was extremely nice, jackie and christina are awesome",ct,,Sat,4pm,2018-12-08 12:30:28,BBP Conservancy Education,,,98.116.200.159,1,1
8,,Internet Search,,,,,4,Very,Once a month or twice because we like to learn new things and discover new themes and activities,,,Self-guided outdoor activities,Weekend morning classes,,Jackie,,Sat,4pm,2018-12-08 12:31:07,BBP Conservancy Education,,,98.116.200.159,1,1
9,,,Passerby,,,,"4,5",Extremely,We come at least once a month,,Special programs during Open Hours,,,"I babysit for multiple families and this is everyones favorite place to come, no matter the age or the kid! Keep up the amazing work!",Jackie,,Sat,3pm,2018-12-08 12:32:11,BBP Conservancy Education,,,98.116.200.159,1,1
10,,,Passerby,,,,"3,7",Extremely,just today,,,Self-guided outdoor activities,,staff is very nice :),Jackie,,Sat,3pm,2018-12-08 12:32:41,BBP Conservancy Education,,,98.116.200.159,1,1
11,,Internet Search,,,,,8,Extremely,first time but will absolutely be back! we all loved it!!! we learned so much.,Adult Programs,Special programs during Open Hours,Self-guided outdoor activities,Weekend morning classes,everyone here was so informative and enthusiastic. amasing with kids. we had a fantastic time !! Thrilled to have avvess to this in our own neightborhood.,Ct,,Sat,3pm,2018-12-08 12:33:52,BBP Conservancy Education,,,98.116.200.159,1,1
12,,Internet Search,,,,,6,Extremely,This is our 2nd time. my daughter loves it,,Special programs during Open Hours,Self-guided outdoor activities,,,Jackie,,Sat,3pm,2018-12-08 12:34:22,BBP Conservancy Education,,,98.116.200.159,1,1
13,Word of Mouth,,,,,,"5,2",Very,once/twice a month,,Special programs during Open Hours,,Weekend morning classes,afterschool program?,jackie,2018-02-08,Sat,3pm,2018-12-08 12:35:24,BBP Conservancy Education,2018-12-08 12:36:27,BBP Conservancy Education,98.116.200.159,1,1
14,,Internet Search,,,,,2,Very,every month / learning,,Special programs during Open Hours,,,,Ct,,Thur,4pm,2018-12-08 12:36:55,BBP Conservancy Education,,,98.116.200.159,1,1
15,,,Passerby,,,,"7,5",Extremely,1st time,,Special programs during Open Hours,,,puppet shows and storytime,S,2018-09-08,Sat,4pm,2018-12-08 12:38:19,BBP Conservancy Education,,,98.116.200.159,1,1
16,,,Passerby,,,,"12,6",Extremely,extremely appropriate for 6 yr old and very appropriate for 12 year old. once every 4 months for fun and education,,Special programs during Open Hours,,,lovely place,S,2018-09-01,Sat,3pm,2018-12-08 12:39:19,BBP Conservancy Education,,,98.116.200.159,1,1
17,Word of Mouth,Internet Search,Passerby,BBP Website,,,4,Very,once a week if I lived nearby - once a month if not (I'm in manhattan) so I'd come whenever I was over here.,,Special programs during Open Hours,Self-guided outdoor activities,Weekend morning classes,Thank you for this free activity to educate our children and for providing an affordable discovery session for groups.,S,2018-09-01,Sat,4pm,2018-12-08 12:40:48,BBP Conservancy Education,,,98.116.200.159,1,1
18,,Internet Search,,,,,"5,3",Very,we are regular visiting twice a week. because off the friendly and educational environment,Adult Programs,,Self-guided outdoor activities,,,CT,2018-08-30,Tues,4pm,2018-12-08 12:41:37,BBP Conservancy Education,,,98.116.200.159,1,1
